method,LinR_MSE,LinR_R2,Lasso_MSE,Lasso_R2,Ridge_MSE,Ridge_R2
No reduction,520.9383346425766,0.3445790889692567,529.9037706205813,0.33329918533052116,521.1284367635507,0.34433991112990037
PCA 1,662.3837391987431,0.16661891642998328,664.9654359780047,0.16337074300417898,662.4112333071484,0.16658432459371275
PCA 2,642.1264728986646,0.19210568722503218,648.4886095836606,0.18410113631202774,642.1641791044776,0.19205824699243257
PCA 3,642.5722702278083,0.19154480530835982,648.4886095836606,0.18410113631202774,642.5781618224667,0.1915373927720161
PCA 4,641.1940298507462,0.19327884464369327,648.4886095836606,0.18410113631202774,641.2187745483111,0.19324771199104984
PCA 5,641.7529457973292,0.19257564202922206,648.4886095836606,0.18410113631202774,641.8212882953653,0.19248965660763528
PCA 6,637.2474469756481,0.1982442556557854,644.1575019638649,0.18955033886281802,637.2717989002357,0.19821361717223152
PCA 7,524.290259230165,0.3403618499587876,530.8974862529458,0.33204893753388565,524.3087195600942,0.34033862401157733
GRP 1,703.586017282011,0.11478008476403212,705.349567949725,0.11256126555182133,703.6307934014139,0.11472374948782005
GRP 2,682.9014139827179,0.14080451152854323,685.1967792615868,0.13791658736904222,683.0168892380204,0.14065922581620693
GRP 3,629.29379418696,0.20825117971976492,637.6618224666144,0.1977229072662794,629.4579732914375,0.20804461704032085
GRP 4,628.6869599371563,0.20901467096316484,637.7454831107619,0.19761764925019898,628.7776904948939,0.20890051790347197
GRP 5,623.5510604870385,0.21547642597850292,634.2631578947369,0.20199895239840848,623.3904163393559,0.21567854113614082
GRP 6,557.9186959937157,0.2980520808471927,571.1779261586803,0.28136992072117695,557.9819324430479,0.29797251962377047
GRP 7,531.299293008641,0.33154340255524617,548.338570306363,0.3101053591111198,531.1991358994501,0.33166941567308883
